name,quantity,region,service_id,sku,"total_price, USD",notes
Zonal Kubernetes Clusters,1.0,global,CCD8-9BF1-090E,6B92-A835-08AB,73,
Regional Kubernetes Clusters,0.0,global,CCD8-9BF1-090E,B561-BFBD-1264,0,
Storage PD Capacity in Frankfurt,100.0,europe-west3,6F81-5844-456A,7A7B-EA46-2897,4.8,
Custom Instance Core running in Frankfurt,14600.0,europe-west3,6F81-5844-456A,47BE-44D0-C86F,624.3909,
Custom Instance Ram running in Frankfurt,47450.0,europe-west3,6F81-5844-456A,6971-C36E-2B52,271.9312,
Analysis (europe-west3),10.0,europe-west3,24E6-581D-38E5,6E72-2EA2-1C2C,73.125,
Active Logical Storage (europe-west3),20.0,europe-west3,24E6-581D-38E5,AE2B-06A2-A77E,470.81,
Message Delivery Basic,30.416666666666668,global,A1E8-BE35-7EBC,027D-B6C7-CCA2,0.71593,
Message Delivery Basic,30.416666666666668,global,A1E8-BE35-7EBC,027D-B6C7-CCA2,0.71593,
Cloud SQL for MySQL: Zonal - vCPU in Americas,3650.0,us-central1,9662-B51E-5089,741F-D668-2417,150.745,
Cloud SQL for MySQL: Zonal - RAM in Americas,14600.0,us-central1,9662-B51E-5089,49E9-5D00-B807,102.2,
Cloud SQL for MySQL: Zonal - Standard storage in Americas,365000.0,us-central1,9662-B51E-5089,F0A1-2B08-FA36,79.16242,
Cloud Firestore Read Ops Frankfurt,60833333.333333336,europe-west3,F17B-412E-CB64,2F48-F782-6581,23.13188,
Cloud Firestore Entity Writes Frankfurt,9125000.0,europe-west3,F17B-412E-CB64,F6B0-032C-DA87,9.9645,
Cloud Firestore Entity Deletes Frankfurt,0.0,europe-west3,F17B-412E-CB64,D461-27B2-0CCA,0,
Cloud Firestore Storage Frankfurt,50.0,europe-west3,F17B-412E-CB64,82DB-114D-ADD9,5.733,
Cloud Firestore Read Ops Frankfurt,60833333.333333336,europe-west3,F17B-412E-CB64,2F48-F782-6581,23.13188,
Cloud Firestore Entity Writes Frankfurt,9125000.0,europe-west3,F17B-412E-CB64,F6B0-032C-DA87,9.9645,
Cloud Firestore Entity Deletes Frankfurt,0.0,europe-west3,F17B-412E-CB64,D461-27B2-0CCA,0,
Cloud Firestore Storage Frankfurt,50.0,europe-west3,F17B-412E-CB64,82DB-114D-ADD9,5.733,
Redis Cluster Node Default Frankfurt,4380.0,europe-west3,5AF5-2C11-D467,E1AB-A226-E208,993.822,
Regional External Application Load Balancer Inbound Data Processing for Frankfurt (europe-west3),100.0,,E505-1604-58F8,D107-DA77-EE8C,0.93132,
Regional External Application Load Balancer Outbound Data Processing for Frankfurt (europe-west3),100.0,,E505-1604-58F8,D008-DADF-093C,0.93132,
Regional External Proxy Network Load Balancer Forwarding Rule Minimum for Frankfurt (europe-west3),1.0,,E505-1604-58F8,52CF-5D49-45F7,21.9,
,,,,,,
,,,,Total Price:,2946.83977,
,,,,,,
"Prices are in US dollars, effective date is 2024-05-17T14:04:08.269Z",,,,,,
,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,
,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CiRiNTQ4YTJlOS00M2Y1LTRlMGEtODcxZi1kNjc1MDNiOTBiZmI=,,,,,,
